,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
30,react-beautiful-dnd,atlassian/react-beautiful-dnd,other-components,react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,2017-08-09 03:37:15.000,2021-07-29 16:54:36.000,2021-06-17 02:58:48.000,1786,440.0,983.0,24376,785.0,2021-03-21 23:46:09.000,13.1.0,93.0,Beautiful and accessible drag and drop for lists with React.,29904.0,27920.0,123,35,https://www.npmjs.com/package/react-beautiful-dnd,Apache-2.0,2021-03-21 23:24:40.308,1984.0,3687501.0,3687501.0,True,2,,,,,,,,,,
31,react-use,streamich/react-use,others,react-use,https://github.com/streamich/react-use,https://github.com/streamich/react-use,2018-10-27 10:16:05.000,2021-07-29 08:25:37.000,2021-05-14 11:29:10.000,1773,379.0,204.0,24207,2748.0,2021-04-23 14:17:08.000,17.2.4,260.0,React Hooks.,14808.0,14300.0,177,35,https://www.npmjs.com/package/react-use,Unlicense,2021-04-23 14:17:04.023,508.0,2044261.0,2044261.0,True,2,,,,,,,,,,
32,react-query,tannerlinsley/react-query,data-fetching,react-query,https://github.com/tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10 19:23:58.000,2021-07-29 14:03:44.000,2021-07-28 07:08:26.000,1036,30.0,689.0,21539,1305.0,2021-07-25 19:12:08.000,3.19.1,373.0,"Hooks for fetching, caching and updating asynchronous data in React.",18163.0,18153.0,326,35,https://www.npmjs.com/package/react-query,MIT,2021-07-25 19:12:04.282,10.0,2333475.0,2333475.0,True,1,,,,1.0,,,,,,
33,localForage,localForage/localForage,state-management,localforage,https://github.com/localForage/localForage,https://github.com/localForage/localForage,2013-10-31 00:10:06.000,2021-04-07 03:28:45.000,2020-07-31 18:35:14.000,1110,203.0,485.0,19284,1118.0,2020-08-01 10:10:21.654,1.9.0,61.0,"Offline storage, improved. Wraps IndexedDB, WebSQL, or localStorage using a simple but powerful API.",204876.0,176416.0,110,35,https://www.npmjs.com/package/localforage,Apache-2.0,2020-08-01 10:10:21.654,28460.0,4535105.0,4535329.0,True,1,,,19764.0,,,,,,,
34,React Admin,marmelab/react-admin,admin-dashboards,react-admin,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,2016-07-13 07:58:54.000,2021-07-29 13:00:05.000,2021-07-29 13:00:04.000,3755,132.0,3077.0,17421,10575.0,2021-07-09 13:32:12.000,3.17.0,176.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",7204.0,6708.0,476,35,https://www.npmjs.com/package/react-admin,MIT,2021-07-09 13:26:27.108,496.0,178717.0,178717.0,True,1,['material-ui'],https://marmelab.com/react-admin-demo/,,,,,,,,
35,umi,umijs/umi,cms-frameworks,umi,https://github.com/umijs/umi,https://github.com/umijs/umi,2017-11-22 10:09:36.000,2021-07-29 14:05:28.000,2021-07-29 14:05:28.000,1747,197.0,4049.0,10928,4466.0,2021-07-27 02:47:49.000,3.5.14,510.0,Pluggable enterprise-level react application framework.,20816.0,19602.0,311,35,https://www.npmjs.com/package/umi,MIT,2021-07-27 02:47:38.735,1214.0,113820.0,113820.0,True,3,,,,,,,,,,
36,i18next,i18next/i18next,utils,i18next,https://github.com/i18next/i18next,https://github.com/i18next/i18next,2011-12-16 12:37:42.000,2021-07-25 09:41:44.630,2021-07-25 09:40:19.000,544,3.0,1074.0,5727,1649.0,2021-07-20 15:11:15.016,20.3.4,317.0,i18next: learn once - translate everywhere.,67271.0,57881.0,198,35,https://www.npmjs.com/package/i18next,MIT,2021-07-25 09:41:44.630,9390.0,7002258.0,7002258.0,True,3,,,,,,,,,,
37,SheetJS,SheetJS/sheetjs,file-handling,xlsx,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,2012-12-03 19:25:52.000,2021-07-29 08:51:53.000,2021-07-29 08:50:50.000,6850,508.0,1534.0,26303,501.0,2021-05-13 19:13:41.651,0.17.0,160.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10728.0,1970.0,132,34,https://www.npmjs.com/package/xlsx,Apache-2.0,2021-05-13 19:13:41.651,8758.0,5007895.0,5007895.0,True,2,,,,,,,,,,
38,esbuild,evanw/esbuild,dev-tools,esbuild,https://github.com/evanw/esbuild,https://github.com/evanw/esbuild,2016-06-14 16:08:50.000,2021-07-29 16:58:23.000,2021-07-29 16:58:18.000,601,183.0,1089.0,26184,2414.0,2021-07-29 16:58:37.000,0.12.17,269.0,An extremely fast JavaScript bundler and minifier.,53135.0,53135.0,57,34,https://www.npmjs.com/package/esbuild,MIT,2021-07-29 16:58:12.398,0.0,2922420.0,2922420.0,True,2,,,,,,,,,,
39,uppy,transloadit/uppy,file-handling,uppy,https://github.com/transloadit/uppy,https://github.com/transloadit/uppy,2015-11-16 12:32:33.000,2021-07-29 15:29:52.000,2021-07-29 15:14:55.000,1562,145.0,1357.0,24305,8188.0,2021-07-29 15:16:03.028,1.31.0,139.0,The next open source file uploader for web browsers.,1424.0,1308.0,298,34,https://www.npmjs.com/package/uppy,MIT,2021-07-29 15:16:03.028,116.0,63102.0,63102.0,True,2,,,,,,,,,,
