,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
76,Evergreen,segmentio/evergreen,ui-frameworks,evergreen-ui,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,2017-07-30 10:03:14.000,2021-07-15 17:44:21.000,2021-07-14 22:15:24.000,671,77.0,347.0,10886,749.0,2021-06-30 22:40:09.000,6.1.0,208.0,Evergreen React UI Framework by Segment.,2517.0,2367.0,111,29,https://www.npmjs.com/package/evergreen-ui,MIT,2021-06-30 22:34:50.121,150.0,40783.0,40783.0,True,3,,,,,,,,,,
77,React-Move,sghall/react-move,animations,react-move,https://github.com/sghall/react-move,https://github.com/sghall/react-move,2017-03-20 15:38:13.000,2021-06-28 18:46:30.000,2021-06-13 06:33:28.000,202,1.0,39.0,6333,524.0,2021-06-13 05:41:59.344,6.5.0,60.0,"React Move | Beautiful, data-driven animations for React.",4451.0,3805.0,13,29,https://www.npmjs.com/package/react-move,MIT,2021-06-13 05:41:59.344,646.0,425312.0,425312.0,True,1,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
78,theme-ui,system-ui/theme-ui,ui-frameworks,theme-ui,https://github.com/system-ui/theme-ui,https://github.com/system-ui/theme-ui,2019-04-03 22:10:49.000,2021-07-13 10:56:48.000,2021-07-11 12:47:49.000,500,82.0,492.0,3828,,2021-06-19 16:42:38.000,0.10.0,274.0,"Build consistent, themeable React apps based on constraint-based design principles.",13815.0,13153.0,128,29,https://www.npmjs.com/package/theme-ui,MIT,2021-05-19 08:13:11.218,662.0,524199.0,524199.0,True,3,,,,,,,,,,
79,react-avatar-editor,mosch/react-avatar-editor,other-components,react-avatar-editor,https://github.com/mosch/react-avatar-editor,https://github.com/mosch/react-avatar-editor,2014-12-12 01:22:23.000,2021-06-28 02:55:00.000,2021-02-20 21:04:49.000,318,4.0,208.0,1796,524.0,2020-12-24 08:55:49.158,11.1.0,66.0,Small avatar & profile picture component. Resize and crop uploaded images using a intuitive user interface.,4361.0,3947.0,60,29,https://www.npmjs.com/package/react-avatar-editor,MIT,2019-10-29 07:08:28.616,414.0,331892.0,331892.0,True,2,,,,,,,,,,
80,react-copy-to-clipboard,nkbt/react-copy-to-clipboard,other-components,react-copy-to-clipboard,https://github.com/nkbt/react-copy-to-clipboard,https://github.com/nkbt/react-copy-to-clipboard,2015-07-04 09:10:02.000,2021-06-15 20:30:44.000,2021-01-12 23:38:42.000,106,15.0,68.0,1770,495.0,2021-01-12 23:41:45.000,5.0.3,27.0,Copy-to-clipboard React component.,52247.0,46331.0,17,29,https://www.npmjs.com/package/react-copy-to-clipboard,MIT,2021-01-12 23:38:39.178,5916.0,2812677.0,2812677.0,True,2,,,,,,,,,,
81,React Data Table,jbetancur/react-data-table-component,data-tables,react-data-table-component,https://github.com/jbetancur/react-data-table-component,https://github.com/jbetancur/react-data-table-component,2018-03-16 04:31:39.000,2021-07-14 09:14:16.000,2021-06-29 23:37:43.000,217,35.0,493.0,1077,787.0,2021-02-23 03:50:10.930,6.11.7,153.0,"A responsive table library with built-in sorting, pagination, selection, expandable rows, and customizable styling.",4563.0,4475.0,41,29,https://www.npmjs.com/package/react-data-table-component,Apache-2.0,2021-06-29 23:40:06.114,88.0,163016.0,163016.0,True,2,,https://jbetancur.github.io/react-data-table-component/,,,,,,,,
82,react-csv,react-csv/react-csv,file-handling,react-csv,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,2016-11-25 12:55:39.000,2021-07-15 04:53:50.000,2020-07-09 05:32:23.000,216,109.0,118.0,787,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,7311.0,6789.0,26,29,https://www.npmjs.com/package/react-csv,MIT,2020-04-01 16:36:39.880,522.0,844921.0,844921.0,True,3,,,,,,,,,,
83,Ant Design Pro,ant-design/ant-design-pro,admin-dashboards,,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25 10:40:44.000,2021-07-15 10:01:35.000,2021-07-15 09:51:05.000,6874,68.0,7273.0,29608,2319.0,2021-07-02 02:42:28.000,5.0.0,23.0,Use Ant Design like a Pro!.,2225.0,2225.0,288,28,,MIT,,,,,True,2,['ant-design'],https://preview.pro.ant.design/,,,,,,,,
84,chakra-ui,chakra-ui/chakra-ui,ui-frameworks,chakra-ui,https://github.com/chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17 14:27:54.000,2021-07-14 22:54:15.000,2021-07-12 12:16:16.000,1568,103.0,1861.0,19346,,2021-07-08 15:05:57.000,@chakra-ui/theme-tools@1.1.8,100.0,"Simple, Modular & Accessible UI Components for your React Applications.",10162.0,10160.0,425,28,https://www.npmjs.com/package/chakra-ui,MIT,2019-04-27 08:34:34.655,2.0,1513.0,1513.0,True,3,,,,,,,,,,
85,react-vis,uber/react-vis,data-viz,react-vis,https://github.com/uber/react-vis,https://github.com/uber/react-vis,2016-02-22 20:45:50.000,2021-05-10 16:45:03.000,2020-07-13 14:33:01.000,820,327.0,504.0,7916,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122,28,https://www.npmjs.com/package/react-vis,MIT,2017-04-22 00:52:57.632,1048.0,328242.0,328242.0,True,2,,http://uber.github.io/react-vis/examples/showcases/,,,,,,,,
