,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
10,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-04-01 13:22:57.000,2021-03-22 16:39:11.000,2322,816.0,944.0,20032,1100.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,103955.0,85537.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2888749.0,2888749.0,True,1,,,,,,,,,
11,Recharts,recharts/recharts,recharts,data-viz,https://github.com/recharts/recharts,https://github.com/recharts/recharts,MIT,2015-08-07 06:50:27.000,2021-03-31 19:46:51.000,2021-03-24 03:49:53.000,1227,146.0,1951.0,16073,1842.0,2021-03-24 03:50:34.413,2.0.9,178.0,Redefined chart library built with React and D3.,51530.0,44526.0,209.0,36,https://www.npmjs.com/package/recharts,2021-03-24 03:50:34.413,7004.0,2585948.0,2585948.0,True,1,,,http://recharts.org/en-US/examples,,,,,,
12,Electron,electron/electron,electron,desktop-apps,https://github.com/electron/electron,https://github.com/electron/electron,MIT,2013-04-12 01:47:36.000,2021-03-30 18:53:59.000,,12189,1102.0,,91053,,2021-03-24 01:24:36.303,12.0.2,497.0,"Build cross-platform desktop apps with JavaScript, HTML, and CSS.",46992.0,,647.0,35,https://www.npmjs.com/package/electron,2021-03-25 17:03:32.127,46992.0,2020088.0,2020088.0,True,1,,,,,,,,,
13,lerna,lerna/lerna,lerna,dev-tools,https://github.com/lerna/lerna,https://github.com/lerna/lerna,MIT,2015-12-04 09:36:55.000,2021-03-28 17:23:04.000,2021-02-10 23:24:50.000,1695,554.0,1448.0,27471,,2021-02-10 22:42:55.000,4.0.0,184.0,A tool for managing JavaScript projects with multiple packages.,103153.0,74991.0,271.0,35,https://www.npmjs.com/package/lerna,2021-02-10 22:42:31.218,28162.0,5186873.0,5186873.0,True,2,,,,,,,,,
14,React Admin,marmelab/react-admin,react-admin,admin-dashboards,https://github.com/marmelab/react-admin,https://github.com/marmelab/react-admin,MIT,2016-07-13 07:58:54.000,2021-03-31 18:19:28.000,2021-03-31 18:19:27.000,3562,137.0,2898.0,16433,9982.0,2021-03-30 07:27:37.000,3.14.1,160.0,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6,..",6070.0,5574.0,454.0,35,https://www.npmjs.com/package/react-admin,2021-03-29 17:05:50.958,496.0,182426.0,182426.0,True,1,['material-ui'],,https://marmelab.com/react-admin-demo/,,,,,,
15,SheetJS,SheetJS/sheetjs,xlsx,file-handling,https://github.com/SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,Apache-2.0,2012-12-03 19:25:52.000,2021-03-31 23:42:31.000,2020-12-15 09:24:35.000,6488,458.0,1512.0,25065,493.0,2020-11-20 07:22:22.859,0.16.9,159.0,SheetJS Community Edition -- Spreadsheet Data Toolkit.,10559.0,1801.0,125.0,34,https://www.npmjs.com/package/xlsx,2020-11-20 07:22:22.859,8758.0,4678952.0,4678952.0,True,1,,,,,,,,,
16,React Dropzone,react-dropzone/react-dropzone,react-dropzone,file-handling,https://github.com/react-dropzone/react-dropzone,https://github.com/react-dropzone/react-dropzone,MIT,2014-09-27 11:57:09.000,2021-03-26 08:00:32.355,2021-03-26 07:58:15.000,682,14.0,635.0,8036,547.0,2021-03-26 08:00:38.000,11.3.2,145.0,Simple HTML5 drag-drop zone with React.js.,74085.0,63769.0,159.0,34,https://www.npmjs.com/package/react-dropzone,2021-03-26 08:00:32.355,10316.0,5872550.0,5872550.0,True,1,,,https://react-dropzone.js.org/#section-basic-example,,,,,,
17,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-04-01 17:57:34.000,2021-04-01 17:45:42.000,2231,486.0,2145.0,20179,,2021-03-30 23:32:10.773,0.61.3,472.0,A completely customizable framework for building rich text editors. (Currently in beta.).,63438.0,56440.0,390.0,33,https://www.npmjs.com/package/slate,2021-04-01 02:10:51.453,6998.0,985916.0,985916.0,True,2,,-3.0,https://www.slatejs.org/examples/richtext,,,,,,
18,emotion,emotion-js/emotion,@emotion/react,styling,https://github.com/emotion-js/emotion,https://github.com/emotion-js/emotion,MIT,2017-05-27 04:23:45.000,2021-03-30 19:34:24.000,2021-03-30 11:06:12.000,805,96.0,1160.0,12758,1600.0,2021-03-07 13:56:36.000,@emotion/serialize@1.0.1,100.0,CSS-in-JS library designed for high performance style composition.,8002.0,8002.0,253.0,33,https://www.npmjs.com/package/@emotion/react,2020-12-22 07:48:03.779,0.0,2655952.0,2655952.0,True,3,,,,,,,,,
19,ag-Grid,ag-grid/ag-grid,ag-grid-community,data-tables,https://github.com/ag-grid/ag-grid,https://github.com/ag-grid/ag-grid,MIT,2014-12-23 16:20:14.000,2021-04-01 17:22:22.000,2021-03-02 13:14:25.000,1246,32.0,3912.0,7066,21402.0,2021-02-25 21:18:26.000,25.1.0,100.0,The best JavaScript Data Table for building Enterprise Applications. Supports React / Angular / Vue / Plain JavaScript.,1411.0,765.0,113.0,33,https://www.npmjs.com/package/ag-grid-community,2021-01-15 08:21:29.989,646.0,971874.0,971874.0,True,1,,,,,,,,,
