,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
30,Notistack,iamhosseindhv/notistack,notistack,['material-ui'],notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-06-14 12:03:51.000,2021-05-19 19:33:44.000,202,31.0,242.0,2120,475.0,2021-05-19 19:34:09.737,1.0.9,82.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,11319.0,10813.0,43.0,31,https://www.npmjs.com/package/notistack,2021-04-25 01:29:50.289,506.0,1329045.0,1329045.0,True,3,https://iamhosseindhv.com/notistack/demos,,,,,,,,
31,Rebass,rebassjs/rebass,rebass,,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-07-01 14:29:32.000,2021-06-30 17:05:25.000,604,74.0,429.0,7369,2020.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,11010.0,9522.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,283920.0,283920.0,True,3,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,,
32,React Suite,rsuite/rsuite,rsuite,,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-07-01 15:57:28.000,2021-07-01 02:07:22.000,576,153.0,418.0,5645,1640.0,2021-06-03 06:32:49.982,4.10.2,220.0,A suite of React components .,3699.0,3567.0,55.0,30,https://www.npmjs.com/package/rsuite,2021-06-15 09:27:19.049,132.0,69502.0,69502.0,True,3,https://rsuitejs.com/components/overview/,,,,,,,,
33,BizCharts,alibaba/BizCharts,bizcharts,,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-06-21 08:21:47.026,2021-04-29 06:26:52.000,611,258.0,966.0,5641,948.0,2021-04-19 07:24:38.000,4.1.10,213.0,Powerful data visualization library based on G2 and React.,12233.0,11001.0,76.0,30,https://www.npmjs.com/package/bizcharts,2021-06-21 08:21:47.026,1232.0,128070.0,128070.0,True,2,,,,,,,,,
34,MUI-Datatables,gregnb/mui-datatables,mui-datatables,['material-ui'],data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-06-28 18:38:57.000,2021-04-03 07:24:59.000,737,480.0,776.0,2053,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,5210.0,4956.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-04-03 07:27:06.513,254.0,215178.0,215178.0,True,2,,,,,,,,,
35,docz,doczjs/docz,docz,,dev-tools,https://github.com/pedronauck/docz,https://github.com/pedronauck/docz,MIT,2018-03-17 04:24:10.000,2021-06-03 23:30:47.000,2021-06-03 19:42:39.000,1318,81.0,1104.0,21406,,2020-04-05 08:58:58.000,2.3.1,273.0,It has never been so easy to document your things!.,6790.0,5418.0,127.0,29,https://www.npmjs.com/package/docz,2020-04-07 10:55:25.773,1372.0,142314.0,142314.0,True,2,,,,pedronauck/docz,,,,,
36,visx,airbnb/visx,@visx/group,,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-07-01 13:37:57.000,2021-06-28 19:32:24.000,506,95.0,471.0,13527,2923.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,58.0,58.0,114.0,29,https://www.npmjs.com/package/@visx/group,2021-03-08 20:10:00.881,0.0,245935.0,245935.0,True,3,https://airbnb.io/visx/gallery,,,,,,,,
37,Evergreen,segmentio/evergreen,evergreen-ui,,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-06-30 22:36:12.000,2021-06-30 22:32:43.000,667,73.0,309.0,10861,730.0,2021-06-30 22:40:09.000,6.1.0,208.0,Evergreen React UI Framework by Segment.,2477.0,2327.0,111.0,29,https://www.npmjs.com/package/evergreen-ui,2021-06-30 22:34:50.121,150.0,40026.0,40026.0,True,3,,,,,,,,,
38,React-Move,sghall/react-move,react-move,,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-06-28 18:46:30.000,2021-06-13 06:33:28.000,202,1.0,39.0,6328,524.0,2021-06-13 05:41:59.344,6.5.0,60.0,"React Move | Beautiful, data-driven animations for React.",4408.0,3762.0,13.0,29,https://www.npmjs.com/package/react-move,2021-06-13 05:41:59.344,646.0,432852.0,432852.0,True,1,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
39,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-03-30 15:09:25.000,2021-03-30 15:09:15.000,272,21.0,227.0,2288,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,9988.0,9392.0,60.0,29,https://www.npmjs.com/package/react-monaco-editor,2021-03-15 17:34:44.054,596.0,329160.0,329160.0,True,2,,,,,,,,,
40,React Data Table,jbetancur/react-data-table-component,react-data-table-component,,data-tables,https://github.com/jbetancur/react-data-table-component,https://github.com/jbetancur/react-data-table-component,Apache-2.0,2018-03-16 04:31:39.000,2021-06-30 23:46:29.000,2021-06-29 23:37:43.000,216,33.0,492.0,1047,787.0,2021-02-23 03:50:10.930,6.11.7,153.0,"A responsive table library with built-in sorting, pagination, selection, expandable rows, and customizable styling.",4417.0,4329.0,41.0,29,https://www.npmjs.com/package/react-data-table-component,2021-06-29 23:40:06.114,88.0,156766.0,156766.0,True,2,https://jbetancur.github.io/react-data-table-component/,,,,,,,,
41,react-csv,react-csv/react-csv,react-csv,,file-handling,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,MIT,2016-11-25 12:55:39.000,2021-06-21 17:39:03.000,2020-07-09 05:32:23.000,216,109.0,117.0,785,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,7192.0,6670.0,26.0,29,https://www.npmjs.com/package/react-csv,2020-04-01 16:36:39.880,522.0,851214.0,851214.0,True,3,,,,,,,,,
42,react-vis,uber/react-vis,react-vis,,data-viz,https://github.com/uber/react-vis,https://github.com/uber/react-vis,MIT,2016-02-22 20:45:50.000,2021-05-10 16:45:03.000,2020-07-13 14:33:01.000,820,327.0,504.0,7895,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122.0,28,https://www.npmjs.com/package/react-vis,2017-04-22 00:52:57.632,1048.0,322879.0,322879.0,True,3,http://uber.github.io/react-vis/examples/showcases/,,,,,,,,
43,react-data-grid,adazzle/react-data-grid,react-data-grid,,data-tables,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,MIT,2015-03-06 10:15:04.000,2021-07-01 12:44:51.000,2021-07-01 12:39:48.000,1848,121.0,1122.0,4653,,2019-04-03 17:25:26.810,6.1.0,1000.0,"Excel-like grid component built with React, with editors, keyboard navigation, copy & paste, and the like.",5283.0,4401.0,122.0,28,https://www.npmjs.com/package/react-data-grid,2021-05-26 14:56:53.386,882.0,284796.0,284796.0,True,2,,,,,,,,,
44,Reactive Search,appbaseio/reactivesearch,@appbaseio/reactivesearch,,other-components,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,Apache-2.0,2017-02-15 15:21:24.000,2021-07-01 11:56:33.000,2021-07-01 11:53:06.000,446,163.0,871.0,4452,2378.0,2021-07-01 11:56:33.000,1.17.0-ue,276.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,299.0,115.0,61.0,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,2021-06-25 18:31:53.673,184.0,25934.0,25934.0,True,1,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,,
45,react-sortable-tree,frontend-collective/react-sortable-tree,react-sortable-tree,,other-components,https://github.com/frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,MIT,2016-07-22 08:36:25.000,2021-06-29 06:19:36.000,2021-06-11 13:41:37.000,738,307.0,295.0,4149,553.0,2020-08-10 08:00:07.000,2.8.0,65.0,Drag-and-drop sortable component for nested data and hierarchies.,2740.0,2392.0,38.0,28,https://www.npmjs.com/package/react-sortable-tree,2020-08-10 07:56:50.631,348.0,352302.0,352302.0,True,1,https://frontend-collective.github.io/react-sortable-tree/?path=/story/basics--minimal-implementation,,,,,,,,
46,react-mde,andrerpena/react-mde,react-mde,,editors,https://github.com/andrerpena/react-mde,https://github.com/andrerpena/react-mde,MIT,2016-11-26 18:10:16.000,2021-06-07 13:26:19.000,2021-05-04 08:58:36.000,138,56.0,144.0,1268,764.0,2021-05-04 08:58:15.604,11.5.0,111.0,React Markdown Editor.,1475.0,1337.0,50.0,28,https://www.npmjs.com/package/react-mde,2021-05-04 08:58:15.604,138.0,96865.0,96865.0,True,3,http://andrerpena.me/react-mde/,,,,,,,,
