,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
53,redux-toolkit,reduxjs/redux-toolkit,redux-toolkit,,state-management,https://github.com/reduxjs/redux-toolkit,https://github.com/reduxjs/redux-toolkit,MIT,2018-03-03 21:21:53.000,2021-11-16 17:08:39.000,2021-11-13 04:50:26.000,522,84.0,877.0,6673,1160.0,2021-10-05 02:15:16.000,1.6.2,62.0,"The official, opinionated, batteries-included toolset for efficient Redux development.",134239.0,134235.0,181,32,https://www.npmjs.com/package/redux-toolkit,2015-10-21 03:50:29.233,4.0,8005.0,8005.0,True,2,,,,,,,,,
54,React Ace,securingsincity/react-ace,react-ace,,editors,https://github.com/securingsincity/react-ace,https://github.com/securingsincity/react-ace,MIT,2014-11-29 05:15:14.000,2021-11-17 01:01:26.000,2021-11-04 01:38:59.000,540,120.0,287.0,3310,853.0,2021-10-22 01:16:22.000,9.5.0,94.0,React Ace Component.,17750.0,14170.0,116,32,https://www.npmjs.com/package/react-ace,2021-07-31 20:44:51.577,3580.0,1487817.0,1487829.0,True,1,,https://securingsincity.github.io/react-ace/,937.0,,,,,,
55,editor.js,codex-team/editor.js,@editorjs/editorjs,,editors,https://github.com/codex-team/editor.js,https://github.com/codex-team/editor.js,Apache-2.0,2015-11-28 20:56:35.000,2021-11-16 12:12:19.000,2021-10-06 08:35:44.000,1312,433.0,607.0,16814,523.0,2021-09-20 15:59:27.000,2.22.3,40.0,A block-styled editor with clean JSON output.,2604.0,2530.0,36,31,https://www.npmjs.com/package/@editorjs/editorjs,2021-10-06 08:50:45.615,74.0,83807.0,83853.0,True,2,,,2724.0,,,,,,
56,sql.js,sql-js/sql.js,sql.js,,others,https://github.com/sql-js/sql.js,https://github.com/sql-js/sql.js,MIT,2012-02-27 03:05:49.000,2021-09-30 15:31:29.334,2021-09-30 15:23:15.000,901,101.0,264.0,9502,482.0,2021-09-30 15:31:29.334,1.6.2,33.0,A javascript library to run SQLite on the web.,4231.0,3433.0,42,31,https://www.npmjs.com/package/sql.js,2021-09-30 15:31:29.334,798.0,287112.0,287727.0,True,2,,,14779.0,,,,,,
57,Victory,FormidableLabs/victory,victory,,data-viz,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,MIT,2015-07-02 22:36:50.000,2021-11-03 21:53:38.283,2021-11-03 21:53:26.000,456,170.0,1281.0,9190,,2021-11-03 21:53:38.283,36.2.0,213.0,A collection of composable React components for building interactive data visualizations.,12248.0,10876.0,289,31,https://www.npmjs.com/package/victory,2021-11-03 21:53:38.283,1372.0,711764.0,711764.0,True,2,,https://formidable.com/open-source/victory/gallery/,,,,,,,
58,baseweb,uber/baseweb,baseui,,ui-frameworks,https://github.com/uber/baseweb,https://github.com/uber/baseweb,MIT,2018-03-09 01:32:10.000,2021-11-17 17:23:46.000,2021-11-17 01:19:10.000,650,99.0,767.0,7074,2944.0,2021-11-16 22:24:36.117,10.6.0,638.0,A React Component library implementing the Base design language.,2499.0,2455.0,215,31,https://www.npmjs.com/package/baseui,2021-11-16 22:24:36.117,44.0,170789.0,170789.0,True,2,,,,,,,,,
59,react-draft-wysiwyg,jpuri/react-draft-wysiwyg,react-draft-wysiwyg,,editors,https://github.com/jpuri/react-draft-wysiwyg,https://github.com/jpuri/react-draft-wysiwyg,MIT,2016-09-04 18:33:34.000,2021-10-06 15:23:02.000,2021-05-05 01:18:14.000,969,564.0,364.0,5385,826.0,2021-05-05 01:18:31.148,1.14.7,130.0,A Wysiwyg editor build on top of ReactJS and DraftJS. https://jpuri.github.io/react-draft-wysiwyg.,18004.0,16432.0,83,31,https://www.npmjs.com/package/react-draft-wysiwyg,2021-05-05 01:18:31.148,1572.0,752294.0,752294.0,True,2,,,,,,,,,
60,react-quill,zenoamaro/react-quill,react-quill,,editors,https://github.com/zenoamaro/react-quill,https://github.com/zenoamaro/react-quill,MIT,2014-11-07 12:25:40.000,2021-09-01 02:07:24.000,2021-08-18 17:37:34.000,662,194.0,411.0,4693,425.0,2020-03-29 19:25:46.394,1.3.5,48.0,A Quill component for React.,19636.0,18082.0,52,31,https://www.npmjs.com/package/react-quill,2020-03-29 18:18:10.355,1554.0,972095.0,972097.0,True,2,,,185.0,,,,,,
61,Notistack,iamhosseindhv/notistack,notistack,['material-ui'],notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-11-06 14:18:58.000,2021-10-31 03:49:11.000,248,23.0,292.0,2508,480.0,2021-10-31 03:52:26.752,2.0.3,92.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,14457.0,13951.0,45,31,https://www.npmjs.com/package/notistack,2021-10-31 03:39:16.160,506.0,1842071.0,1842071.0,True,3,,https://iamhosseindhv.com/notistack/demos,,,,,,,
62,primereact,primefaces/primereact,primereact,,ui-frameworks,https://github.com/primefaces/primereact,https://github.com/primefaces/primereact,MIT,2016-12-16 15:56:27.000,2021-11-17 12:54:38.000,2021-11-15 12:11:57.000,512,210.0,1908.0,2329,5094.0,2021-11-15 12:10:57.000,7.0.1,95.0,The Most Complete React UI Component Library.,7097.0,6769.0,126,31,https://www.npmjs.com/package/primereact,2021-11-15 12:10:26.223,328.0,194200.0,194200.0,True,2,,,,,,,,,
