,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
37,Evergreen,segmentio/evergreen,evergreen-ui,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-06-09 23:53:51.000,2021-06-09 23:53:51.000,653,82.0,309.0,10790,728.0,2021-05-18 19:02:50.000,6.0.1,207.0,Evergreen React UI Framework by Segment.,2416.0,2266.0,111.0,29,https://www.npmjs.com/package/evergreen-ui,2021-05-18 18:02:56.772,150.0,34065.0,34065.0,True,3,,,,,,,,,,
38,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-03-30 15:09:25.000,2021-03-30 15:09:15.000,270,20.0,225.0,2253,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,9897.0,9301.0,60.0,29,https://www.npmjs.com/package/react-monaco-editor,2021-03-15 17:34:44.054,596.0,343014.0,343014.0,True,2,,,,,,,,,,
39,React Data Table,jbetancur/react-data-table-component,react-data-table-component,data-tables,https://github.com/jbetancur/react-data-table-component,https://github.com/jbetancur/react-data-table-component,Apache-2.0,2018-03-16 04:31:39.000,2021-06-09 13:56:17.000,2021-05-19 10:35:46.000,209,40.0,478.0,1016,787.0,2021-05-19 10:37:54.000,7.0.0-alpha-11,146.0,"A responsive table library with built-in sorting, pagination, selection, expandable rows, and customizable styling.",4177.0,4089.0,37.0,29,https://www.npmjs.com/package/react-data-table-component,2021-05-19 10:36:54.524,88.0,147184.0,147184.0,True,2,,https://jbetancur.github.io/react-data-table-component/,,,,,,,,
40,react-csv,react-csv/react-csv,react-csv,file-handling,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,MIT,2016-11-25 12:55:39.000,2021-05-09 05:16:50.000,2020-07-09 05:32:23.000,216,109.0,115.0,777,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,6982.0,6460.0,26.0,29,https://www.npmjs.com/package/react-csv,2020-04-01 16:36:39.880,522.0,775037.0,775037.0,True,3,,,,,,,,,,
41,react-vis,uber/react-vis,react-vis,data-viz,https://github.com/uber/react-vis,https://github.com/uber/react-vis,MIT,2016-02-22 20:45:50.000,2021-05-10 16:45:03.000,2020-07-13 14:33:01.000,820,322.0,504.0,7870,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122.0,28,https://www.npmjs.com/package/react-vis,2017-04-22 00:52:57.632,1048.0,282608.0,282608.0,True,3,,http://uber.github.io/react-vis/examples/showcases/,,,,,,,,
42,React-Move,sghall/react-move,react-move,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-05-12 19:36:22.000,2021-02-03 23:11:22.000,196,4.0,35.0,6314,508.0,2020-06-30 01:48:33.306,6.3.0,58.0,"React Move | Beautiful, data-driven animations for React.",4355.0,3709.0,12.0,28,https://www.npmjs.com/package/react-move,2020-06-30 01:48:33.306,646.0,427055.0,427055.0,True,1,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
43,react-data-grid,adazzle/react-data-grid,react-data-grid,data-tables,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,MIT,2015-03-06 10:15:04.000,2021-06-10 16:07:59.000,2021-06-10 16:04:05.000,1842,118.0,1118.0,4617,,2019-04-03 17:25:26.810,6.1.0,1000.0,"Excel-like grid component built with React, with editors, keyboard navigation, copy & paste, and the like.",5221.0,4339.0,121.0,28,https://www.npmjs.com/package/react-data-grid,2021-05-26 14:56:53.386,882.0,265020.0,265020.0,True,2,,,,,,,,,,
44,Reactive Search,appbaseio/reactivesearch,@appbaseio/reactivesearch,other-components,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,Apache-2.0,2017-02-15 15:21:24.000,2021-06-10 10:27:30.000,2021-06-08 03:47:35.000,445,173.0,860.0,4434,2378.0,2021-06-07 13:03:12.000,1.15.2-ue,275.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,297.0,113.0,60.0,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,2021-05-27 14:11:52.290,184.0,21555.0,21555.0,True,1,,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,,
45,react-sortable-tree,frontend-collective/react-sortable-tree,react-sortable-tree,other-components,https://github.com/frontend-collective/react-sortable-tree,https://github.com/frontend-collective/react-sortable-tree,MIT,2016-07-22 08:36:25.000,2021-06-10 06:25:24.000,2020-08-10 07:57:42.000,738,307.0,294.0,4126,552.0,2020-08-10 08:00:07.000,2.8.0,65.0,Drag-and-drop sortable component for nested data and hierarchies.,2701.0,2353.0,37.0,28,https://www.npmjs.com/package/react-sortable-tree,2020-08-10 07:56:50.631,348.0,328842.0,328842.0,True,1,,https://frontend-collective.github.io/react-sortable-tree/?path=/story/basics--minimal-implementation,,,,,,,,
46,react-mde,andrerpena/react-mde,react-mde,editors,https://github.com/andrerpena/react-mde,https://github.com/andrerpena/react-mde,MIT,2016-11-26 18:10:16.000,2021-06-07 13:26:19.000,2021-05-04 08:58:36.000,138,56.0,144.0,1257,764.0,2021-05-04 08:58:15.604,11.5.0,111.0,React Markdown Editor.,1437.0,1299.0,50.0,28,https://www.npmjs.com/package/react-mde,2021-05-04 08:58:15.604,138.0,94732.0,94732.0,True,3,,http://andrerpena.me/react-mde/,,,,,,,,
