,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
37,visx,airbnb/visx,@visx/group,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-05-19 19:16:15.000,2021-05-19 19:13:48.000,492,90.0,457.0,13244,2902.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,47.0,47.0,111.0,29,https://www.npmjs.com/package/@visx/group,2021-03-08 20:10:00.881,0.0,215061.0,215061.0,True,3,,,https://airbnb.io/visx/gallery,,,,,,,
38,Evergreen,segmentio/evergreen,evergreen-ui,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-05-20 01:13:09.000,2021-05-20 01:13:08.000,646,85.0,292.0,10724,722.0,2021-05-18 19:02:50.000,6.0.1,207.0,Evergreen React UI Framework by Segment.,2338.0,2188.0,110.0,29,https://www.npmjs.com/package/evergreen-ui,2021-05-18 18:02:56.772,150.0,34587.0,34587.0,True,3,,,,,,,,,,
39,React-Move,sghall/react-move,react-move,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-05-12 19:36:22.000,2021-02-03 23:11:22.000,196,4.0,35.0,6305,508.0,2020-06-30 01:48:33.306,6.3.0,58.0,"React Move | Beautiful, data-driven animations for React.",4292.0,3646.0,12.0,29,https://www.npmjs.com/package/react-move,2020-06-30 01:48:33.306,646.0,452714.0,452714.0,True,1,,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,
40,React Data Table,jbetancur/react-data-table-component,react-data-table-component,data-tables,https://github.com/jbetancur/react-data-table-component,https://github.com/jbetancur/react-data-table-component,Apache-2.0,2018-03-16 04:31:39.000,2021-05-19 10:37:53.000,2021-05-19 10:35:46.000,203,40.0,469.0,992,787.0,2021-05-19 10:37:54.000,7.0.0-alpha-11,146.0,"A responsive table library with built-in sorting, pagination, selection, expandable rows, and customizable styling.",3907.0,3819.0,37.0,29,https://www.npmjs.com/package/react-data-table-component,2021-05-19 10:36:54.524,88.0,145352.0,145352.0,True,2,,,https://jbetancur.github.io/react-data-table-component/,,,,,,,
41,react-csv,react-csv/react-csv,react-csv,file-handling,https://github.com/react-csv/react-csv,https://github.com/react-csv/react-csv,MIT,2016-11-25 12:55:39.000,2021-05-09 05:16:50.000,2020-07-09 05:32:23.000,211,101.0,115.0,762,164.0,2020-04-01 19:55:11.000,2.0.3,30.0,React components to build CSV files on the fly basing on Array/literal object of data.,6766.0,6244.0,26.0,29,https://www.npmjs.com/package/react-csv,2020-04-01 16:36:39.880,522.0,935647.0,935647.0,True,3,,,,,,,,,,
42,Ant Design Pro,ant-design/ant-design-pro,,admin-dashboards,https://github.com/ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,MIT,2017-08-25 10:40:44.000,2021-05-18 02:07:59.000,2021-05-18 01:58:59.000,6709,99.0,7013.0,29148,2288.0,2020-12-18 07:06:21.000,4.3.0,22.0,Use Ant Design like a Pro!.,2179.0,2179.0,279.0,28,,,,,,True,2,['ant-design'],,https://preview.pro.ant.design/,,,,,,,
43,react-virtualized,vaughn/react-virtualized,react-virtualized,data-tables,,https://github.com/bvaughn/react-virtualized,MIT,,2018-06-01 16:00:52.806,,2672,,,21646,,2020-12-18 22:16:25.269,9.22.3,294.0,"React components for efficiently rendering large, scrollable lists and tabular data.",5456.0,,,28,https://www.npmjs.com/package/react-virtualized,2018-06-01 16:00:52.806,5456.0,3564372.0,3564372.0,False,2,,,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,
44,react-vis,uber/react-vis,react-vis,data-viz,https://github.com/uber/react-vis,https://github.com/uber/react-vis,MIT,2016-02-22 20:45:50.000,2021-05-10 16:45:03.000,2020-07-13 14:33:01.000,812,316.0,504.0,7834,876.0,2019-04-19 03:58:15.000,1.11.7,99.0,Data Visualization Components.,1048.0,,122.0,28,https://www.npmjs.com/package/react-vis,2017-04-22 00:52:57.632,1048.0,292059.0,292059.0,True,3,,,http://uber.github.io/react-vis/examples/showcases/,,,,,,,
45,react-data-grid,adazzle/react-data-grid,react-data-grid,data-tables,https://github.com/adazzle/react-data-grid,https://github.com/adazzle/react-data-grid,MIT,2015-03-06 10:15:04.000,2021-05-20 18:23:26.000,2021-05-20 18:18:39.000,1838,176.0,1072.0,4586,,2019-04-03 17:25:26.810,6.1.0,998.0,"Excel-like grid component built with React, with editors, keyboard navigation, copy & paste, and the like.",5162.0,4280.0,120.0,28,https://www.npmjs.com/package/react-data-grid,2021-05-14 13:56:18.051,882.0,257439.0,257439.0,True,2,,,,,,,,,,
46,Reactive Search,appbaseio/reactivesearch,@appbaseio/reactivesearch,other-components,https://github.com/appbaseio/reactivesearch,https://github.com/appbaseio/reactivesearch,Apache-2.0,2017-02-15 15:21:24.000,2021-05-19 11:50:22.000,2021-05-13 15:53:46.000,440,166.0,853.0,4417,2378.0,2021-05-04 12:58:02.000,1.14.1-ue,274.0,Search UI components for React and Vue: powered by appbase.io / Elasticsearch.,296.0,112.0,60.0,28,https://www.npmjs.com/package/@appbaseio/reactivesearch,2021-05-03 08:16:37.145,184.0,19070.0,19070.0,True,1,,,https://opensource.appbase.io/reactivesearch/#examples,,,,,,,
