,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
30,react-json-view,mac-s-g/react-json-view,react-json-view,file-handling,https://github.com/mac-s-g/react-json-view,https://github.com/mac-s-g/react-json-view,MIT,2017-03-26 06:01:36.000,2021-04-29 15:39:29.000,2021-03-09 03:27:31.000,280,98.0,86.0,2029,732.0,2021-03-09 03:08:46.252,1.21.3,111.0,JSON viewer for react.,15205.0,14211.0,33.0,31,https://www.npmjs.com/package/react-json-view,2021-03-09 03:08:46.252,994.0,1153562.0,1153562.0,True,2,,https://mac-s-g.github.io/react-json-view/demo/dist/,,,,,,,,
31,Notistack,iamhosseindhv/notistack,notistack,notifications,https://github.com/iamhosseindhv/notistack,https://github.com/iamhosseindhv/notistack,MIT,2018-08-04 21:05:47.000,2021-05-08 03:40:43.000,2021-05-08 03:38:28.000,184,17.0,237.0,1980,473.0,2021-05-08 03:34:44.216,1.0.7,80.0,Highly customizable notification snackbars (toasts) that can be stacked on top of each other.,10268.0,9762.0,43.0,31,https://www.npmjs.com/package/notistack,2021-04-25 01:29:50.289,506.0,1129155.0,1129155.0,True,3,['material-ui'],https://iamhosseindhv.com/notistack/demos,,,,,,,,
32,Rebass,rebassjs/rebass,rebass,ui-frameworks,https://github.com/rebassjs/rebass,https://github.com/rebassjs/rebass,MIT,2015-02-11 14:48:09.000,2021-05-08 07:08:02.000,2021-05-07 18:14:46.000,546,42.0,428.0,7286,2016.0,2019-10-28 19:08:45.057,4.0.7,109.0,React primitive UI components built with styled-system.,10318.0,8830.0,58.0,30,https://www.npmjs.com/package/rebass,2019-10-28 19:08:45.057,1488.0,395840.0,395840.0,True,3,,https://codesandbox.io/s/github/rebassjs/rebass/tree/master/examples/sandbox,,,,,,,,
33,BizCharts,alibaba/BizCharts,bizcharts,data-viz,https://github.com/alibaba/BizCharts,https://github.com/alibaba/BizCharts,MIT,2017-11-10 08:27:54.000,2021-04-29 06:26:52.000,2021-04-29 06:26:52.000,603,246.0,961.0,5594,948.0,2021-04-19 07:24:38.000,4.1.10,211.0,Powerful data visualization library based on G2 and React.,12002.0,10770.0,76.0,30,https://www.npmjs.com/package/bizcharts,2021-04-19 03:52:30.917,1232.0,136657.0,136657.0,True,2,,,,,,,,,,
34,React Suite,rsuite/rsuite,rsuite,ui-frameworks,https://github.com/rsuite/rsuite,https://github.com/rsuite/rsuite,MIT,2016-06-06 02:27:46.000,2021-05-13 16:11:23.000,2021-05-13 07:56:49.000,541,139.0,407.0,5506,1640.0,2021-05-08 08:54:27.108,4.10.0,216.0,A suite of React components .,3296.0,3164.0,52.0,30,https://www.npmjs.com/package/rsuite,2021-05-11 06:09:53.741,132.0,65003.0,65003.0,True,3,,https://rsuitejs.com/components/overview/,,,,,,,,
35,react-monaco-editor,react-monaco-editor/react-monaco-editor,react-monaco-editor,editors,https://github.com/react-monaco-editor/react-monaco-editor,https://github.com/react-monaco-editor/react-monaco-editor,MIT,2016-09-05 07:11:05.000,2021-03-30 15:09:25.000,2021-03-30 15:09:15.000,270,19.0,223.0,2191,349.0,2021-03-15 17:34:44.054,0.43.0,69.0,Monaco Editor for React.,9771.0,9175.0,60.0,30,https://www.npmjs.com/package/react-monaco-editor,2021-03-15 17:34:44.054,596.0,378185.0,378185.0,True,2,,,,,,,,,,
36,MUI-Datatables,gregnb/mui-datatables,mui-datatables,data-tables,https://github.com/gregnb/mui-datatables,https://github.com/gregnb/mui-datatables,MIT,2017-11-04 19:49:44.000,2021-05-13 16:14:25.000,2021-04-03 07:24:59.000,711,453.0,770.0,2006,925.0,2021-04-03 07:27:55.000,3.7.7,143.0,Datatables for React using Material-UI - https://www.material-ui-datatables.com.,4857.0,4603.0,129.0,30,https://www.npmjs.com/package/mui-datatables,2021-04-03 07:27:06.513,254.0,216573.0,216573.0,True,2,['material-ui'],,,,,,,,,
37,visx,airbnb/visx,@visx/group,data-viz,https://github.com/airbnb/visx,https://github.com/airbnb/visx,MIT,2017-03-15 16:25:41.000,2021-05-13 17:37:42.000,2021-05-13 00:54:50.000,490,86.0,454.0,13217,2897.0,2021-03-08 20:16:56.000,1.6.1,76.0,visx | visualization components.,47.0,47.0,111.0,29,https://www.npmjs.com/package/@visx/group,2021-03-08 20:10:00.881,0.0,214523.0,214523.0,True,3,,https://airbnb.io/visx/gallery,,,,,,,,
38,Evergreen,segmentio/evergreen,evergreen-ui,ui-frameworks,https://github.com/segmentio/evergreen,https://github.com/segmentio/evergreen,MIT,2017-07-30 10:03:14.000,2021-05-12 18:57:32.000,2021-05-12 18:30:24.000,646,85.0,291.0,10702,713.0,2021-05-12 17:26:03.000,6.0.0,206.0,Evergreen React UI Framework by Segment.,2318.0,2168.0,107.0,29,https://www.npmjs.com/package/evergreen-ui,2021-05-12 16:53:10.836,150.0,34134.0,34134.0,True,3,,,,1.0,,,,,,
39,React-Move,sghall/react-move,react-move,animations,https://github.com/sghall/react-move,https://github.com/sghall/react-move,MIT,2017-03-20 15:38:13.000,2021-05-12 19:36:22.000,2021-02-03 23:11:22.000,196,4.0,35.0,6299,508.0,2020-06-30 01:48:33.306,6.3.0,58.0,"React Move | Beautiful, data-driven animations for React.",4279.0,3633.0,12.0,29,https://www.npmjs.com/package/react-move,2020-06-30 01:48:33.306,646.0,454762.0,454762.0,True,1,,https://react-move-docs.netlify.app/#/demos/node-group,,,,,,,,
