,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,new_addition,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
106,React ApexCharts,apexcharts/react-apexcharts,data-viz,react-apexcharts,https://github.com/apexcharts/react-apexcharts,https://github.com/apexcharts/react-apexcharts,2018-08-20 13:36:46.000,2021-06-10 12:01:29.000,2021-06-10 12:01:22.000,73,113.0,133.0,772,159.0,2021-04-11 17:44:40.019,1.3.8,24.0,React Component for ApexCharts.,13106.0,12818.0,17,27,https://www.npmjs.com/package/react-apexcharts,MIT,2021-04-12 12:08:42.212,288.0,387940.0,387940.0,True,3,,,https://apexcharts.com/react-chart-demos/,,,,,,,
107,material-ui-chip-input,TeamWertarbyte/material-ui-chip-input,other-components,material-ui-chip-input,https://github.com/TeamWertarbyte/material-ui-chip-input,https://github.com/TeamWertarbyte/material-ui-chip-input,2016-09-07 16:47:10.000,2021-04-13 10:30:39.000,2020-09-08 13:18:49.000,177,35.0,232.0,704,305.0,2019-12-01 15:35:30.000,1.1.0,73.0,A chip input field using Material-UI.,4737.0,3911.0,48,27,https://www.npmjs.com/package/material-ui-chip-input,MIT,2019-12-01 15:47:13.811,826.0,222165.0,222165.0,True,3,,['material-ui'],https://mui.wertarbyte.com/#material-ui-chip-input,,,,,,,
108,material-ui-dropzone,Yuvaleros/material-ui-dropzone,file-handling,material-ui-dropzone,https://github.com/Yuvaleros/material-ui-dropzone,https://github.com/Yuvaleros/material-ui-dropzone,2017-10-16 11:50:16.000,2021-06-28 19:52:05.000,2020-10-01 14:00:45.000,164,75.0,128.0,368,427.0,2020-09-20 20:21:49.283,3.5.0,32.0,A Material-UI file upload dropzone.,3301.0,3189.0,48,27,https://www.npmjs.com/package/material-ui-dropzone,MIT,2020-09-20 20:21:49.283,112.0,199497.0,199497.0,True,3,,['material-ui'],https://yuvaleros.github.io/material-ui-dropzone/,,,,,,,
109,React Flow,wbkd/react-flow,other-components,react-flow-renderer,https://github.com/wbkd/react-flow,https://github.com/wbkd/react-flow,2019-07-15 14:47:30.000,2021-07-05 04:01:53.000,2021-07-01 13:35:40.000,328,46.0,530.0,6846,,2021-07-01 13:35:47.000,9.6.3,150.0,"Highly customizable library for building interactive node-based UIs, editors, flow charts and diagrams.",642.0,642.0,34,26,https://www.npmjs.com/package/react-flow-renderer,MIT,2021-07-01 13:35:37.436,0.0,146006.0,146006.0,True,3,,,https://reactflow.dev/examples/,,,,,,,
110,react-diagrams,projectstorm/react-diagrams,data-viz,@projectstorm/react-diagrams,https://github.com/projectstorm/react-diagrams,https://github.com/projectstorm/react-diagrams,2016-06-03 09:10:01.000,2021-07-06 14:24:36.000,2021-07-03 11:31:36.000,901,230.0,457.0,6175,807.0,2021-04-14 09:06:03.165,6.5.2,27.0,"a super simple, no-nonsense diagramming library written in react that just works.",157.0,143.0,77,26,https://www.npmjs.com/package/@projectstorm/react-diagrams,MIT,2021-04-14 09:06:03.165,14.0,36565.0,36565.0,True,3,True,,,,,,,,,
111,searchkit,searchkit/searchkit,other-components,searchkit,https://github.com/searchkit/searchkit,https://github.com/searchkit/searchkit,2015-11-19 18:27:43.000,2021-07-09 13:47:11.000,2021-07-09 13:47:07.000,397,11.0,512.0,4224,,2021-06-25 08:22:02.000,3.0.0-canary.40,93.0,GraphQL API & React UI components for Elasticsearch. The easiest way to build a great search experience.,866.0,580.0,51,26,https://www.npmjs.com/package/searchkit,Apache-2.0,2021-01-13 21:30:25.068,286.0,11057.0,11057.0,True,3,True,,,,,,,,,
112,restful-react,contiamo/restful-react,data-fetching,restful-react,https://github.com/contiamo/restful-react,https://github.com/contiamo/restful-react,2018-06-29 12:52:25.000,2021-06-30 19:31:13.000,2021-06-02 11:42:29.000,98,30.0,123.0,1729,584.0,2021-05-05 07:46:57.533,15.6.0,186.0,"A consistent, declarative way of interacting with RESTful backends, featuring code-generation from Swagger and OpenAPI..",250.0,242.0,43,26,https://www.npmjs.com/package/restful-react,MIT,2021-05-05 07:46:57.533,8.0,42783.0,42783.0,True,3,True,,,,,,,,,
113,react-mde,andrerpena/react-mde,editors,react-mde,https://github.com/andrerpena/react-mde,https://github.com/andrerpena/react-mde,2016-11-26 18:10:16.000,2021-07-04 22:19:50.000,2021-07-04 22:19:50.000,138,56.0,144.0,1271,765.0,2021-05-04 08:58:15.604,11.5.0,111.0,React Markdown Editor.,138.0,,50,26,https://www.npmjs.com/package/react-mde,MIT,2021-05-04 08:58:15.604,138.0,96117.0,96117.0,True,3,,,http://andrerpena.me/react-mde/,-2.0,,,,,,
114,components,primer/components,ui-frameworks,@primer/components,https://github.com/primer/components,https://github.com/primer/components,2018-02-17 00:09:05.000,2021-07-05 02:30:25.000,2021-07-02 14:48:33.000,177,72.0,331.0,1248,,2021-06-18 13:43:30.000,28.2.5,2835.0,Primer React components.,927.0,879.0,70,26,https://www.npmjs.com/package/@primer/components,MIT,2021-06-18 13:43:13.458,48.0,52344.0,52344.0,True,3,True,,,,,,,,,
115,rsuite-table,rsuite/rsuite-table,data-tables,rsuite-table,https://github.com/rsuite/rsuite-table,https://github.com/rsuite/rsuite-table,2016-06-10 16:19:14.000,2021-07-08 16:04:07.580,2021-07-08 16:02:40.000,75,18.0,79.0,418,474.0,2021-05-12 05:36:00.374,3.15.1,167.0,A React table component.,1194.0,1124.0,12,26,https://www.npmjs.com/package/rsuite-table,MIT,2021-07-08 16:04:07.580,70.0,70833.0,70833.0,True,3,,,,,,,,,,
116,why-did-you-render,welldone-software/why-did-you-render,dev-tools,why-did-you-render,https://github.com/welldone-software/why-did-you-render,https://github.com/welldone-software/why-did-you-render,2018-11-10 19:31:09.000,2021-07-08 13:44:23.000,2021-06-13 09:45:59.000,100,12.0,136.0,6630,397.0,2021-06-13 09:49:45.000,6.2.0,79.0,why-did-you-render by Welldone Software monkey patches React to notify you about potentially avoidable re-renders...,2857.0,2857.0,26,25,https://www.npmjs.com/package/why-did-you-render,MIT,2020-05-17 14:12:57.191,,587.0,587.0,True,3,True,,,,,,,,,
117,GGEditor,alibaba/GGEditor,data-viz,gg-editor,https://github.com/alibaba/GGEditor,https://github.com/alibaba/GGEditor,2018-08-24 05:50:30.000,2020-09-10 10:08:53.000,2020-07-10 10:33:23.000,508,272.0,201.0,3098,405.0,2020-07-10 10:34:08.312,3.1.3,48.0,A visual graph editor based on G6 and React.,1966.0,1862.0,6,25,https://www.npmjs.com/package/gg-editor,MIT,2020-07-10 10:34:08.312,104.0,23594.0,23594.0,True,3,True,,,,,,,,,
118,React Hot Toast,timolins/react-hot-toast,notifications,react-hot-toast,https://github.com/timolins/react-hot-toast,https://github.com/timolins/react-hot-toast,2020-12-07 22:05:40.000,2021-07-08 12:00:48.000,2021-07-08 10:45:39.000,86,26.0,36.0,3084,,2021-05-31 13:51:38.000,2.0.0,10.0,Smoking hot React Notifications.,2045.0,2045.0,13,25,https://www.npmjs.com/package/react-hot-toast,MIT,2021-05-31 13:47:35.593,0.0,162610.0,162610.0,True,3,,,https://react-hot-toast.com/,,,,,,,
119,React Email Editor,unlayer/react-email-editor,editors,react-email-editor,https://github.com/unlayer/react-email-editor,https://github.com/unlayer/react-email-editor,2017-10-01 22:44:29.000,2021-06-17 17:31:57.000,2021-06-10 21:35:06.000,449,114.0,84.0,2925,90.0,2021-06-10 21:34:25.605,1.3.0,21.0,Drag-n-Drop Email Editor Component for React.js.,340.0,326.0,5,25,https://www.npmjs.com/package/react-email-editor,MIT,2021-06-10 21:34:25.605,14.0,35358.0,35358.0,True,3,,,https://react-email-editor-demo.netlify.app/,,,,,,,
120,Semiotic,nteract/semiotic,data-viz,semiotic,https://github.com/nteract/semiotic,https://github.com/nteract/semiotic,2017-03-16 17:46:24.000,2021-03-11 23:25:45.000,2020-12-02 03:45:24.000,135,114.0,397.0,2171,1988.0,2020-12-02 04:27:28.174,1.20.6,198.0,A data visualization framework combining React & D3.,377.0,311.0,24,25,https://www.npmjs.com/package/semiotic,Apache-2.0,2021-01-05 04:52:46.836,66.0,23327.0,23327.0,True,3,,,https://semiotic.nteract.io/examples,,,,,,,
121,Viser,viserjs/viser,data-viz,viser-react,https://github.com/viserjs/viser,https://github.com/viserjs/viser,2017-10-27 16:47:46.000,2021-06-17 08:40:35.000,2020-07-30 03:40:48.000,118,101.0,324.0,1483,502.0,2019-12-24 13:03:44.941,2.4.8,65.0,viser is a toolkit fit for data vis engineer. https://viserjs.gitee.io/.,2462.0,2416.0,22,25,https://www.npmjs.com/package/viser-react,MIT,2019-12-24 13:03:44.941,46.0,7685.0,7685.0,True,3,,,https://viserjs.github.io/demoHome.html,-1.0,,,,,,
